codigo_producto,nombre_producto,nitproveedor,precio_compra,ivacompra,precio_venta
1101,Primer 24K Gold de Kiss Beauty,94351,7500,1500,15000
1102,Primer de ojos y labios MAC,64085,5000,1000,10000
1103,Primer Flower Karite,80164,7500,1500,15000
1104,Primers Farsali,64085,6500,1300,13000
1201,Beauty Blender,63247,2000,400,4000
1202,Beauty Blender corazon,63247,3500,700,7000
1203,Brochas cola de Sirena,63247,12500,2500,25000
1204,Cepillo secador One Step,63247,43250,8650,86500
1205,Combo Beauty Blander espumitas,63247,4000,800,8000
1206,Cosmetiquera Pastel Lila,63247,10000,2000,20000
1207,Cosmetiquera Pastel Palo de Rosa Trendy,40063,10000,2000,20000
1208,Cosmetiquera tipo marmol de Trendy,40063,7500,1500,15000
1209,Encrespador profesional Trendy,40063,6000,1200,12000
1210,Espejo Conchita Trendy,40063,3000,600,6000
1211,Lavabrochas Trendy,40063,2500,500,5000
1212,Limpiabrochas en seco Miss Cosmetics,70348,4500,900,9000
1213,Limpiador facial 5 en 1,63247,10000,2000,20000
1214,Limpiador facial nico Dual Action,63247,12500,2500,25000
1215,Pulpo facial + Beauty Blender,63247,4000,800,8000
1216,Set Brochas para ojos x7 Trendy,40063,11000,2200,22000
1217,Set Brochasx7 ,63247,7500,1500,15000
1218,Set de 12 brochas para ojos y rostro en cartera satinada,63247,15000,3000,30000
1301,Base BB Engol,40037,7500,1500,15000
1302,Base ideal 24H Matt de Karite,80164,12500,2500,25000
1303,Base para piel clara Huda Beauty y Maybelline,50749,12500,2500,25000
1304,Corrector de ojeras Beauty Glazed,80463,5000,1000,10000
1305,Corrector liquido Karite,80164,4000,800,8000
1401,Iluminador con pomo y espejo Engol,40037,5000,1000,10000
1402,Iluminador coraz—n Lightening,63247,6500,1300,13000
1403,Iluminador corporal Vidan con aroma a coco,63247,5000,1000,10000
1404,Iluminador Lovely Glow Trendy,40063,8500,1700,17000
1405,Paleta iluminador y brozen Beauty Cali Glow,64085,7500,1500,15000
1406,Rubor + contorno Trendy,40063,7500,1500,15000
1501,Betœn para cejas Kylie,64085,7000,1400,14000
1502,Coctel de cejas Trendy,40063,7500,1500,15000
1503,Delineador doble punta 36h SMI,64085,3500,700,7000
1504,Delineador Huda Beauty,50749,5500,1100,11000
1505,Delineador color party Trendy,40063,7500,1500,15000
1506,Delineadores de colores Miss,70348,30000,6000,60000
1507,Jab—n para cejas Novo,70348,6000,1200,12000
1508,Lapiz de cejas JBL,70348,35000,7000,70000
1601,Brillo magico,63247,4250,850,8500
1602,Delineadores de labios Trendy,40063,1000,200,2000
1603,Labial liquido Engol Matte,40037,5000,1000,10000
1604,Labial liquido Huda Beauty,50749,4000,800,8000
1605,Labial Nude Matte 3Q Beauty,64085,3000,600,6000
1606,Lip Gloss Trendy,40063,1500,300,3000
1607,Lip Sweet Matte Trendy,40063,3500,700,7000
1608,Soft Lips Trendy,40063,3000,600,6000
1701,Pesta–ina dos en 1 Trendy,40063,10000,2000,20000
1702,Pesta–ina Engol 3 en 1,40037,4000,800,8000
1703,Pesta–ina Huda Beuty,50749,7000,1400,14000
1704,Pesta–ina lashes Karite,80164,5000,1000,10000
1705,Paleta de glitter Fabbla,64085,16000,3200,32000
1706,Paleta Peach Trendy,40063,10000,2000,20000
1707,Paleta animalitos Novo,70348,10000,2000,20000
1708,Paleta Beautiful Every Day Karite,80164,12500,2500,25000
1709,Paleta Caramel Trendy,40063,7500,1500,15000
1710,Paleta fresa Trendy,40063,7500,1500,15000
1711,Paleta Jupiter Beauty Glazed,80463,10000,2000,20000
1712,Paleta Light Chocolate Ucanbe,64085,12500,2500,25000
1713,Paleta Rainbow Trendy,40063,12500,2500,25000
1714,Paleta Romanky,63247,27000,5400,54000
1715,Rubor de perlas Engol,40037,4500,900,9000
1716,Rubor magico Kiss Beauty,94351,4000,800,8000
1717,Rubor Rosa Engol ,40037,3000,600,6000
